voxel,x,y,z,vision_target_correlation,vision_target_r2,vision_tuning_r2,visual_cortex,early_visual,higher_visual,V1,V2,V3,V4,imagery_target_correlation,imagery_target_r2,imagery_tuning_r2,vision_minus_imagery_target_r2,vision_minus_imagery_target_correlation
77,14,21,46,0.23983056725959956,-6.61317848892527,0.05751870099206131,True,False,True,False,False,False,False,0.1906744056098716,-5.1357747582587505,0.03635672895467783,-1.477403730666519,0.04915616164972797
78,14,21,47,0.07184304356963868,-2.2642500187263246,0.005161422909349001,True,False,True,False,False,False,False,-0.07237275359391879,-3.5852321924917776,0.005237815462766085,1.320982173765453,0.14421579716355748
79,14,21,48,0.2716370797838648,-1.658055829048744,0.07378670311350574,True,False,True,False,False,False,False,-0.1387535135712612,-5.44871566004858,0.019252537528370167,3.7906598309998363,0.410390593355126
80,14,21,49,0.625294113109317,-0.6372480619402758,0.3909927278891674,True,False,True,False,False,False,False,0.46383135032615136,-0.9258658198459175,0.21513952154538096,0.2886177579056417,0.16146276278316568
81,14,21,51,0.3599893676033421,-1.7529601740217688,0.12959234478745418,True,False,True,False,False,False,False,0.3602042563936347,-3.5051651527786305,0.1297471063240913,1.7522049787568617,-0.0002148887902925778
82,14,22,43,0.1510398578317248,-1.4441567918882767,0.02281303865382764,True,False,True,False,False,False,False,0.5809525351013642,-1.2820304053855227,0.33750584804070183,-0.16212638650275402,-0.42991267726963944
83,14,22,44,-0.02584497110360916,-1.20507902038376,0.0006679625313463925,True,False,True,False,False,False,False,0.2245089025719499,-1.5735100900797514,0.050404247334061285,0.3684310696959914,-0.25035387367555906
84,14,22,45,0.1367179554898416,-0.4462064092281539,0.018691799353322314,True,False,True,False,False,False,False,-0.4059591562921062,-1.8492554181162792,0.16480283657739872,1.4030490088881253,0.5426771117819478
85,14,22,48,0.5120868436869456,0.2528434398923818,0.26223293547725823,True,False,True,False,False,False,False,-0.22640189438100128,-0.9703692089530995,0.05125781777930606,1.2232126488454813,0.7384887380679468
86,14,22,49,0.2645439007241124,-1.0456737567603431,0.06998347541032902,True,False,True,False,False,False,False,0.5191074592474274,-0.9345246066167661,0.2694725542463195,-0.11114915014357707,-0.254563558523315
