subject,phase,stimulus_set,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
2,validation,B,parietal,parietal,0.5928571428571429,0.27499999999999997,0.016666666666666666,0.406060606060606,0.509090909090909,0.8909090909090909
2,validation,B,parietal,visual_streams,0.45714285714285713,0.33928571428571425,0.06805555555555555,0.29696969696969694,0.4242424242424242,0.6969696969696969
2,validation,B,parietal,dorsal_parietal,0.5071428571428571,0.2571428571428571,0.03888888888888889,0.2606060606060606,0.47878787878787876,0.8060606060606059
2,validation,B,visual_streams,early,0.6857142857142857,-0.10714285714285714,0.005555555555555556,0.49090909090909085,0.6181818181818182,0.9272727272727272
2,validation,B,visual_streams,ventral,0.7714285714285715,0.3571428571428571,0.001388888888888889,0.5636363636363636,0.7757575757575756,0.8545454545454544
2,validation,B,visual_streams,lateral,0.5678571428571428,0.2964285714285714,0.013888888888888888,0.16363636363636364,0.5151515151515151,0.8303030303030302
2,validation,B,visual_streams,midparietal,0.7285714285714285,0.6964285714285713,0.004166666666666667,0.5515151515151515,0.6545454545454544,0.8909090909090909
2,validation,B,visual_streams,parietal,0.7535714285714286,0.5,0.002777777777777778,0.6242424242424242,0.7515151515151515,0.8787878787878788
2,validation,B,visual_streams,visual_streams,0.7535714285714286,0.27499999999999997,0.001388888888888889,0.6121212121212121,0.7575757575757575,0.7939393939393938
2,validation,B,visual_streams,dorsal_parietal,0.6678571428571428,0.6392857142857141,0.008333333333333333,0.43030303030303024,0.709090909090909,0.8181818181818182
2,validation,B,dorsal_parietal,early,0.40714285714285714,-0.4107142857142856,0.08472222222222223,0.12727272727272726,0.37575757575757573,0.5636363636363636
2,validation,B,dorsal_parietal,ventral,0.5214285714285715,0.3607142857142856,0.03333333333333333,0.29696969696969694,0.4121212121212121,0.7212121212121211
2,validation,B,dorsal_parietal,lateral,0.3964285714285714,0.2785714285714285,0.10555555555555556,0.10303030303030303,0.37575757575757573,0.5272727272727272
2,validation,B,dorsal_parietal,midparietal,0.48214285714285715,0.11071428571428568,0.06111111111111111,0.17575757575757575,0.46666666666666656,0.6242424242424242
2,validation,B,dorsal_parietal,parietal,0.5071428571428571,0.2178571428571428,0.03888888888888889,0.34545454545454546,0.4121212121212121,0.709090909090909
2,validation,B,dorsal_parietal,visual_streams,0.42857142857142855,0.34642857142857136,0.08055555555555556,0.24848484848484845,0.33939393939393936,0.6484848484848483
2,validation,B,dorsal_parietal,dorsal_parietal,0.4392857142857143,0.25,0.07083333333333333,0.22424242424242422,0.3878787878787878,0.6484848484848483
3,validation,A,early,early,0.5285714285714286,0.3107142857142856,0.03611111111111111,0.33333333333333326,0.4848484848484848,0.7575757575757575
3,validation,A,early,ventral,0.25,-0.16785714285714282,0.23055555555555557,0.07878787878787878,0.24848484848484848,0.4545454545454545
3,validation,A,early,lateral,0.21071428571428572,-0.021428571428571425,0.2763888888888889,-0.006060606060606061,0.23636363636363636,0.4545454545454545
3,validation,A,early,midparietal,0.275,0.21071428571428572,0.21388888888888888,0.16363636363636364,0.2727272727272727,0.4545454545454545
3,validation,A,early,parietal,0.14642857142857144,0.04642857142857142,0.35138888888888886,-0.10303030303030303,0.13939393939393938,0.33333333333333326
3,validation,A,early,visual_streams,0.39285714285714285,0.06428571428571428,0.12222222222222222,0.2121212121212121,0.41818181818181815,0.5151515151515151
3,validation,A,early,dorsal_parietal,0.15714285714285714,0.16428571428571426,0.3277777777777778,-0.18787878787878787,0.18787878787878787,0.38181818181818183
3,validation,A,ventral,early,0.36428571428571427,0.1714285714285714,0.1388888888888889,0.06666666666666665,0.36969696969696964,0.709090909090909
3,validation,A,ventral,ventral,0.5107142857142857,0.075,0.05416666666666667,0.309090909090909,0.4303030303030303,0.8303030303030302
3,validation,A,ventral,lateral,0.5857142857142857,-0.024999999999999998,0.019444444444444445,0.49090909090909085,0.5393939393939393,0.709090909090909
3,validation,A,ventral,midparietal,0.46785714285714286,0.15,0.06805555555555555,0.2121212121212121,0.406060606060606,0.8303030303030302
3,validation,A,ventral,parietal,0.3464285714285714,0.15714285714285714,0.1486111111111111,0.04242424242424241,0.43030303030303024,0.49090909090909085
