subject,phase,n_components,alpha,mean_cv_r2,median_cv_r2,selected
4,validation,8,100.0,0.30865184696814724,0.30581933536012895,False
4,validation,16,0.1,0.6461213895819221,0.6520154918577241,False
4,validation,16,1.0,0.6517602341698456,0.6589777480371796,False
4,validation,16,10.0,0.6634784278725109,0.6681200296060827,True
4,validation,16,100.0,0.36721520686420756,0.36302991802033635,False
5,validation,4,0.1,0.4641751554958205,0.5494068455345448,False
5,validation,4,1.0,0.466919997137033,0.5494056471024948,False
5,validation,4,10.0,0.4670702852461999,0.524607257198627,False
5,validation,4,100.0,0.25180235750969704,0.260437291885194,False
5,validation,8,0.1,0.5341061852825868,0.5332102189786134,False
5,validation,8,1.0,0.5412655612267182,0.541233013224373,False
5,validation,8,10.0,0.5667659751651494,0.5722323548446586,False
5,validation,8,100.0,0.32651556288283584,0.33401482905710406,False
5,validation,16,0.1,0.6413090540202905,0.6162600791521327,False
5,validation,16,1.0,0.6477136783244711,0.6236745500764661,False
5,validation,16,10.0,0.6644580548700909,0.6465805591659509,True
5,validation,16,100.0,0.3719053275701274,0.3694542821251278,False
6,validation,4,0.1,0.547585919848955,0.5639704153529479,False
6,validation,4,1.0,0.5560517095188677,0.5708287417223901,False
6,validation,4,10.0,0.5893218601787852,0.5907947256334948,False
6,validation,4,100.0,0.34510389197660635,0.3412842847832395,False
6,validation,8,0.1,0.5476353435271908,0.5393342940709827,False
6,validation,8,1.0,0.5532678062027792,0.5444359382631638,False
6,validation,8,10.0,0.5686003722577543,0.572644536943045,False
6,validation,8,100.0,0.31908387415015155,0.3147835743923721,False
6,validation,16,0.1,0.62747862550492,0.6065769717536214,False
6,validation,16,1.0,0.634862169753814,0.6143016173524702,False
6,validation,16,10.0,0.6583166235257644,0.6510985132379015,True
6,validation,16,100.0,0.3741527678628404,0.3805125560193034,False
7,validation,4,0.1,0.5544336134964043,0.586485601166426,False
7,validation,4,1.0,0.5631369571872324,0.5962811173486545,False
7,validation,4,10.0,0.5976567763435704,0.6295064163019088,False
7,validation,4,100.0,0.3506299780039502,0.3538476812057003,False
7,validation,8,0.1,0.5337685991024924,0.5400009069216007,False
7,validation,8,1.0,0.5408745703939252,0.5471629331024339,False
7,validation,8,10.0,0.5660494456452604,0.5724613733838866,False
7,validation,8,100.0,0.32585988213002287,0.3294172352778265,False
7,validation,16,0.1,0.6271161725077629,0.6136297646781492,False
7,validation,16,1.0,0.6380621174809901,0.6231644957615037,False
7,validation,16,10.0,0.6840810123904609,0.6814502316391617,True
7,validation,16,100.0,0.40672168824329097,0.416667755115996,False
8,validation,4,0.1,0.6274618808731999,0.6614882484387448,False
8,validation,4,1.0,0.6343754700441545,0.6640569701050767,False
8,validation,4,10.0,0.6548555984171406,0.6557701719670873,False
8,validation,4,100.0,0.3698247341798368,0.37492443878319615,False
8,validation,8,0.1,0.6267997916955964,0.629681620762021,False
8,validation,8,1.0,0.6316516150253683,0.6353018087199487,False
8,validation,8,10.0,0.6391047601103845,0.6475119729692801,False
8,validation,8,100.0,0.3505496598969761,0.35901919044420466,False
8,validation,16,0.1,0.691124340220533,0.7186825948244352,False
8,validation,16,1.0,0.6965742774077848,0.7220086139803892,False
8,validation,16,10.0,0.7054265958565101,0.7163932645228668,True
8,validation,16,100.0,0.38744544198756437,0.381373877419761,False
