subject,phase,stimulus_set,contrast,standard_difference,crossvalidated_difference
7,validation,B,cross_minus_same_visual,0.07500000000000001,0.1607142857142857
7,validation,B,cross_minus_within_parietal,0.0,-0.21785714285714286
7,validation,B,within_parietal_minus_same_visual,0.07500000000000001,0.37857142857142856
8,validation,A,cross_minus_same_visual,-0.25,0.0035714285714285587
8,validation,A,cross_minus_within_parietal,0.07142857142857145,0.021428571428571463
8,validation,A,within_parietal_minus_same_visual,-0.32142857142857145,-0.017857142857142905
8,validation,B,cross_minus_same_visual,-0.3678571428571428,-0.11071428571428565
8,validation,B,cross_minus_within_parietal,0.05000000000000002,-0.03214285714285714
8,validation,B,within_parietal_minus_same_visual,-0.4178571428571428,-0.07857142857142851
1,pilot,A+B average,cross_minus_same_visual,0.041071428571428606,-0.033928571428571426
1,pilot,A+B average,cross_minus_within_parietal,-0.15357142857142853,-0.19285714285714284
1,pilot,A+B average,within_parietal_minus_same_visual,0.19464285714285715,0.15892857142857142
2,validation,A+B average,cross_minus_same_visual,-0.125,0.1428571428571428
2,validation,A+B average,cross_minus_within_parietal,0.1875,0.22499999999999992
2,validation,A+B average,within_parietal_minus_same_visual,-0.3125,-0.08214285714285713
3,validation,A+B average,cross_minus_same_visual,0.03750000000000004,0.17142857142857137
3,validation,A+B average,cross_minus_within_parietal,2.7755575615628914e-17,0.23035714285714282
3,validation,A+B average,within_parietal_minus_same_visual,0.037500000000000006,-0.05892857142857144
4,validation,A+B average,cross_minus_same_visual,0.021428571428571463,0.012500000000000039
4,validation,A+B average,cross_minus_within_parietal,0.07678571428571432,-0.3071428571428571
4,validation,A+B average,within_parietal_minus_same_visual,-0.055357142857142855,0.3196428571428571
5,validation,A+B average,cross_minus_same_visual,-0.14464285714285713,-0.14464285714285713
5,validation,A+B average,cross_minus_within_parietal,0.30892857142857144,0.3392857142857143
5,validation,A+B average,within_parietal_minus_same_visual,-0.4535714285714285,-0.48392857142857143
6,validation,A+B average,cross_minus_same_visual,0.06607142857142859,-0.20357142857142857
6,validation,A+B average,cross_minus_within_parietal,-0.007142857142857173,-0.18749999999999997
6,validation,A+B average,within_parietal_minus_same_visual,0.07321428571428576,-0.016071428571428587
7,validation,A+B average,cross_minus_same_visual,-0.22321428571428567,0.24107142857142855
7,validation,A+B average,cross_minus_within_parietal,-0.15535714285714286,-0.11249999999999999
7,validation,A+B average,within_parietal_minus_same_visual,-0.06785714285714285,0.35357142857142854
8,validation,A+B average,cross_minus_same_visual,-0.30892857142857144,-0.05357142857142855
8,validation,A+B average,cross_minus_within_parietal,0.060714285714285735,-0.005357142857142838
8,validation,A+B average,within_parietal_minus_same_visual,-0.36964285714285716,-0.04821428571428571
