subject,phase,stimulus_set,task,roi,rdm_reliability,reliability_method
5,validation,B,vision,ventral,0.22678571428571426,balanced random repeat halves
5,validation,B,imagery,ventral,0.5249999999999999,independent imagery runs
5,validation,A,vision,lateral,0.09107142857142855,balanced random repeat halves
5,validation,A,imagery,lateral,-0.021428571428571425,independent imagery runs
5,validation,B,vision,lateral,0.20357142857142854,balanced random repeat halves
5,validation,B,imagery,lateral,0.3178571428571428,independent imagery runs
5,validation,A,vision,midparietal,0.17857142857142855,balanced random repeat halves
5,validation,A,imagery,midparietal,-0.0964285714285714,independent imagery runs
5,validation,B,vision,midparietal,0.29107142857142854,balanced random repeat halves
5,validation,B,imagery,midparietal,-0.0035714285714285704,independent imagery runs
5,validation,A,vision,parietal,0.06428571428571428,balanced random repeat halves
5,validation,A,imagery,parietal,0.0857142857142857,independent imagery runs
5,validation,B,vision,parietal,0.16607142857142854,balanced random repeat halves
5,validation,B,imagery,parietal,0.24642857142857136,independent imagery runs
5,validation,A,vision,visual_streams,0.09464285714285714,balanced random repeat halves
5,validation,A,imagery,visual_streams,0.20357142857142854,independent imagery runs
5,validation,B,vision,visual_streams,0.19285714285714284,balanced random repeat halves
5,validation,B,imagery,visual_streams,-0.06071428571428571,independent imagery runs
5,validation,A,vision,dorsal_parietal,0.02321428571428571,balanced random repeat halves
5,validation,A,imagery,dorsal_parietal,0.21071428571428572,independent imagery runs
5,validation,B,vision,dorsal_parietal,0.15357142857142855,balanced random repeat halves
5,validation,B,imagery,dorsal_parietal,0.21071428571428572,independent imagery runs
6,validation,A,vision,early,0.19107142857142856,balanced random repeat halves
6,validation,A,imagery,early,0.7714285714285712,independent imagery runs
6,validation,B,vision,early,0.05357142857142856,balanced random repeat halves
6,validation,B,imagery,early,-0.457142857142857,independent imagery runs
6,validation,A,vision,ventral,-0.12499999999999999,balanced random repeat halves
6,validation,A,imagery,ventral,0.17857142857142855,independent imagery runs
6,validation,B,vision,ventral,-0.012499999999999997,balanced random repeat halves
6,validation,B,imagery,ventral,-0.017857142857142853,independent imagery runs
6,validation,A,vision,lateral,-0.12678571428571428,balanced random repeat halves
6,validation,A,imagery,lateral,-0.039285714285714285,independent imagery runs
6,validation,B,vision,lateral,0.1232142857142857,balanced random repeat halves
6,validation,B,imagery,lateral,-0.4035714285714285,independent imagery runs
6,validation,A,vision,midparietal,-0.11607142857142855,balanced random repeat halves
6,validation,A,imagery,midparietal,-0.25357142857142856,independent imagery runs
6,validation,B,vision,midparietal,-0.06249999999999999,balanced random repeat halves
