subject,phase,stimulus_set,comparison,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
3,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,0.03571428571428571,-0.32499999999999996,0.45555555555555555,-0.16363636363636364,0.018181818181818188,0.2727272727272727
4,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.44285714285714284,0.10357142857142855,0.05555555555555555,0.16363636363636364,0.4666666666666667,0.7333333333333332
4,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,0.29285714285714287,0.4142857142857142,0.19027777777777777,0.07878787878787878,0.303030303030303,0.4666666666666666
5,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.45357142857142857,-0.5285714285714286,0.06388888888888888,0.18787878787878787,0.37575757575757573,0.8666666666666665
5,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,-0.25357142857142856,-0.2785714285714285,0.7902777777777777,-0.5272727272727272,-0.3090909090909091,0.05454545454545454
6,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.40714285714285714,-0.08214285714285713,0.10694444444444444,0.12727272727272726,0.35151515151515145,0.8181818181818182
6,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,0.6428571428571429,0.4642857142857142,0.006944444444444444,0.4666666666666666,0.6484848484848484,0.8545454545454544
7,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.05714285714285714,-0.1607142857142857,0.44305555555555554,-0.19999999999999998,0.054545454545454536,0.2121212121212121
7,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,0.5035714285714286,0.3,0.05277777777777778,0.11515151515151514,0.5151515151515151,0.6969696969696969
8,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.48214285714285715,0.2821428571428571,0.07222222222222222,0.2121212121212121,0.4545454545454545,0.6242424242424242
8,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,-0.16071428571428573,-0.5392857142857141,0.7,-0.35757575757575755,-0.1333333333333333,0.01818181818181818
1,pilot,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.4107142857142857,0.24285714285714283,0.1125,0.24848484848484845,0.32121212121212117,0.7212121212121211
1,pilot,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.5535714285714286,0.14285714285714282,0.02361111111111111,0.3939393939393939,0.5696969696969696,0.6484848484848483
2,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.38571428571428573,0.23928571428571427,0.09444444444444444,0.18787878787878787,0.37575757575757573,0.49090909090909085
2,validation,B,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.42857142857142855,0.34642857142857136,0.08055555555555556,0.24848484848484845,0.33939393939393936,0.6484848484848483
3,validation,A,reverse_parietal_to_visual,dorsal_parietal,visual_streams,0.7071428571428572,0.46071428571428563,0.004166666666666667,0.4787878787878787,0.6969696969696969,0.8909090909090909
