subject,phase,roi,task,feature_model,scope,rsa_rho,n_targets
4,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,-0.045842979222041204,18
4,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,-0.07583993256308379,18
4,heldout,higher_visual,vision,HOG images A+B,all,-0.12823965363740783,12
4,heldout,higher_visual,vision,HOG images A+B,within_set,-0.11797442004751457,12
4,heldout,higher_visual,vision,HOG images A+B,between_set,-0.007207207207207207,12
4,heldout,higher_visual,vision,HOG images A+B,block_residual,0.0179642140211054,12
4,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.40275488185704894,18
4,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.035309617918313566,18
4,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.07120333057056026,18
4,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.03686119968387113,18
4,heldout,higher_visual,imagery,HOG images A+B,all,-0.0840457179788709,12
4,heldout,higher_visual,imagery,HOG images A+B,within_set,0.11886479302900527,12
4,heldout,higher_visual,imagery,HOG images A+B,between_set,0.12097812097812098,12
4,heldout,higher_visual,imagery,HOG images A+B,block_residual,0.18440884236094407,12
4,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.42743556752844675,18
4,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,-0.0530961791831357,18
4,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,0.025970066782893667,18
4,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,0.007425940284301118,18
5,heldout,nsdgeneral,vision,HOG images A+B,all,-0.0934815511945812,12
5,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.10461882532515446,12
5,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.08725868725868725,12
5,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.04905965337877436,12
5,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3870605658531355,18
5,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.034519104084321475,18
5,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.00956491087675174,18
5,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,0.03657960363461993,18
5,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.15013830196324876,12
5,heldout,nsdgeneral,imagery,HOG images A+B,within_set,0.003561491925962705,12
5,heldout,nsdgeneral,imagery,HOG images A+B,between_set,0.15392535392535395,12
5,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,0.13522980832073733,12
5,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.3843197566107782,18
5,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,0.03412384716732543,18
5,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,0.027846847104328026,18
5,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,0.09114018006666884,18
5,heldout,early_visual,vision,HOG images A+B,all,0.052231094481653015,12
5,heldout,early_visual,vision,HOG images A+B,within_set,0.1337785404689741,12
5,heldout,early_visual,vision,HOG images A+B,between_set,0.023423423423423427,12
5,heldout,early_visual,vision,HOG images A+B,block_residual,0.3298242052878801,12
5,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.3599540294586734,18
5,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.05599472990777339,18
5,heldout,early_visual,vision,CLIP images A+B + text C,between_set,-0.02478874312879286,18
5,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.0729325367999326,18
5,heldout,early_visual,imagery,HOG images A+B,all,-0.018621157584985806,12
5,heldout,early_visual,imagery,HOG images A+B,within_set,0.14602116896447087,12
5,heldout,early_visual,imagery,HOG images A+B,between_set,0.17734877734877738,12
5,heldout,early_visual,imagery,HOG images A+B,block_residual,0.15588766011870442,12
5,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.2822564432471553,18
5,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.06166007905138339,18
5,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,0.00466813379443063,18
5,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,0.019985385109342533,18
5,heldout,higher_visual,vision,HOG images A+B,all,-0.18276707921137975,12
5,heldout,higher_visual,vision,HOG images A+B,within_set,0.054535345116303924,12
5,heldout,higher_visual,vision,HOG images A+B,between_set,-0.2141570141570142,12
5,heldout,higher_visual,vision,HOG images A+B,block_residual,-0.09159014333930474,12
5,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.420600297535282,18
5,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.01040843214756258,18
5,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.0074118532491163885,18
5,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.06643759468409521,18
5,heldout,higher_visual,imagery,HOG images A+B,all,-0.18990658133477117,12
5,heldout,higher_visual,imagery,HOG images A+B,within_set,-0.06343907493121068,12
5,heldout,higher_visual,imagery,HOG images A+B,between_set,-0.0061776061776061784,12
5,heldout,higher_visual,imagery,HOG images A+B,block_residual,-0.030841830647726276,12
5,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.47946738504014036,18
5,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,-0.028590250329380756,18
5,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,0.0031057379938456845,18
5,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,-0.005419795982275012,18
6,heldout,nsdgeneral,vision,HOG images A+B,all,-0.08826261689385649,12
6,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.07212021150074477,12
6,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.032175032175032175,12
6,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.1074442192045848,12
6,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.43029029793735674,18
6,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.050329380764163364,18
6,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.008898034620404508,18
6,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,-0.008161104662660179,18
6,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.06085277394645024,12
6,heldout,nsdgeneral,imagery,HOG images A+B,within_set,0.11752923355676927,12
6,heldout,nsdgeneral,imagery,HOG images A+B,between_set,-0.015701415701415703,12
6,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,0.2498188430859017,12
6,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.43844236259096936,18
6,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,0.00592885375494071,18
6,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,-0.01586212809740204,18
6,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,-0.00304491878658775,18
6,heldout,early_visual,vision,HOG images A+B,all,0.06707374363291412,12
6,heldout,early_visual,vision,HOG images A+B,within_set,0.2395103320209919,12
6,heldout,early_visual,vision,HOG images A+B,between_set,0.10218790218790218,12
6,heldout,early_visual,vision,HOG images A+B,block_residual,0.4647399742015021,12
6,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.35659000442282174,18
6,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.12621870882740446,18
6,heldout,early_visual,vision,CLIP images A+B + text C,between_set,0.00592567187782827,18
6,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.03796030999512402,18
6,heldout,early_visual,imagery,HOG images A+B,all,0.07991232201269693,12
6,heldout,early_visual,imagery,HOG images A+B,within_set,0.17718422331664457,12
6,heldout,early_visual,imagery,HOG images A+B,between_set,0.18635778635778638,12
6,heldout,early_visual,imagery,HOG images A+B,block_residual,0.4378349865994276,12
6,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.3539597657244716,18
6,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.07918313570487483,18
6,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,0.021559156687339827,18
6,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,-0.003523900044387633,18
6,heldout,higher_visual,vision,HOG images A+B,all,-0.1362350609861181,12
6,heldout,higher_visual,vision,HOG images A+B,within_set,0.03027268137068299,12
6,heldout,higher_visual,vision,HOG images A+B,between_set,-0.1745173745173745,12
6,heldout,higher_visual,vision,HOG images A+B,block_residual,-0.02833757228559871,12
6,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.3640920483025746,18
6,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.04980237154150198,18
6,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.06069526613126029,18
6,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.08726192787696448,18
6,heldout,higher_visual,imagery,HOG images A+B,all,-0.12515004453137882,12
6,heldout,higher_visual,imagery,HOG images A+B,within_set,0.2417362644747186,12
6,heldout,higher_visual,imagery,HOG images A+B,between_set,-0.24684684684684685,12
6,heldout,higher_visual,imagery,HOG images A+B,block_residual,0.07385104024646533,12
6,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.37617439320225693,18
6,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,0.0,18
6,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,-0.029818895462383414,18
6,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,-0.04677172651607858,18
7,heldout,nsdgeneral,vision,HOG images A+B,all,-0.0672407495305373,12
7,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.1092932834779805,12
7,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.019819819819819822,12
7,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.18339586103998576,12
7,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3907764062562824,18
7,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.045059288537549404,18
7,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.03793573218249545,18
7,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,0.036894982135566794,18
7,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.12773863594453827,12
7,heldout,nsdgeneral,imagery,HOG images A+B,within_set,-0.06789093983866407,12
7,heldout,nsdgeneral,imagery,HOG images A+B,between_set,0.03655083655083655,12
7,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,-0.03501576355817229,12
7,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.4449124147266562,18
7,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,-0.0461133069828722,18
7,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,0.002657978221726828,18
7,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,0.02491203797803724,18
7,heldout,early_visual,vision,HOG images A+B,all,0.06053963788840677,12
7,heldout,early_visual,vision,HOG images A+B,within_set,0.18675573286766933,12
7,heldout,early_visual,vision,HOG images A+B,between_set,0.05328185328185329,12
7,heldout,early_visual,vision,HOG images A+B,block_residual,0.45552359698874906,12
7,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.3470105745647541,18
7,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.09973649538866929,18
7,heldout,early_visual,vision,CLIP images A+B + text C,between_set,0.02391227719187935,18
7,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.03971376530681306,18
7,heldout,early_visual,imagery,HOG images A+B,all,-0.0466781483856819,12
7,heldout,early_visual,imagery,HOG images A+B,within_set,0.03873122469484441,12
7,heldout,early_visual,imagery,HOG images A+B,between_set,-0.1003861003861004,12
7,heldout,early_visual,imagery,HOG images A+B,block_residual,0.11316392474684557,12
7,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.3907898087464651,18
7,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.04637681159420289,18
7,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,-0.010269894347747386,18
7,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,0.01008036297870409,18
7,heldout,higher_visual,vision,HOG images A+B,all,-0.07772036960639254,12
7,heldout,higher_visual,vision,HOG images A+B,within_set,0.02537562997248427,12
7,heldout,higher_visual,vision,HOG images A+B,between_set,-0.0030888030888030892,12
7,heldout,higher_visual,vision,HOG images A+B,block_residual,-0.02896015448740738,12
7,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.4019138755980861,18
7,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.059025032938076406,18
7,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.02854230377166157,18
7,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.0002441663885058145,18
7,heldout,higher_visual,imagery,HOG images A+B,all,-0.14842649151261106,12
7,heldout,higher_visual,imagery,HOG images A+B,within_set,-0.03650529224111772,12
7,heldout,higher_visual,imagery,HOG images A+B,between_set,0.08262548262548262,12
7,heldout,higher_visual,imagery,HOG images A+B,block_residual,0.08829729582976684,12
7,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.47548349483333996,18
7,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,-0.03438735177865612,18
7,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,-0.002972362742576238,18
7,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,0.03738560006933926,18
8,heldout,nsdgeneral,vision,HOG images A+B,all,-0.0391628829926383,12
