subject,phase,roi,stimulus_set,task,feature_model,rsa_rho,p_greater,p_two_sided
1,pilot,higher_visual,B,vision,HOG,-0.039285714285714285,0.5638888888888889,0.8375
1,pilot,higher_visual,B,vision,CLIP,-0.12142857142857143,0.7152777777777778,0.5916666666666667
1,pilot,higher_visual,B,imagery,HOG,-0.2392857142857143,0.9861111111111112,0.05138888888888889
1,pilot,higher_visual,B,imagery,CLIP,-0.05,0.5638888888888889,0.7930555555555555
2,heldout,nsdgeneral,A,vision,HOG,0.3461918216087395,0.04861111111111111,0.175
2,heldout,nsdgeneral,A,vision,CLIP,0.15,0.2388888888888889,0.475
2,heldout,nsdgeneral,A,imagery,HOG,-0.26009230120863847,0.8611111111111112,0.2916666666666667
2,heldout,nsdgeneral,A,imagery,CLIP,-0.06785714285714285,0.6166666666666667,0.7555555555555555
2,heldout,nsdgeneral,B,vision,HOG,0.09285714285714286,0.2875,0.5972222222222222
2,heldout,nsdgeneral,B,vision,CLIP,0.06428571428571428,0.3888888888888889,0.7902777777777777
2,heldout,nsdgeneral,B,imagery,HOG,0.05714285714285714,0.37083333333333335,0.7597222222222222
2,heldout,nsdgeneral,B,imagery,CLIP,0.05714285714285714,0.3972222222222222,0.8069444444444445
2,heldout,early_visual,A,vision,HOG,0.2852046613253346,0.09444444444444444,0.24305555555555555
2,heldout,early_visual,A,vision,CLIP,0.25,0.09444444444444444,0.20972222222222223
2,heldout,early_visual,A,imagery,HOG,-0.1793740008335438,0.7625,0.5069444444444444
2,heldout,early_visual,A,imagery,CLIP,-0.007142857142857143,0.5402777777777777,0.9569444444444445
2,heldout,early_visual,B,vision,HOG,0.2714285714285714,0.030555555555555555,0.05416666666666667
2,heldout,early_visual,B,vision,CLIP,-0.20357142857142857,0.8652777777777778,0.2708333333333333
2,heldout,early_visual,B,imagery,HOG,-0.12142857142857143,0.8347222222222223,0.3527777777777778
2,heldout,early_visual,B,imagery,CLIP,-0.03571428571428571,0.5222222222222223,0.8611111111111112
2,heldout,higher_visual,A,vision,HOG,0.3228732015003788,0.09583333333333334,0.19027777777777777
2,heldout,higher_visual,A,vision,CLIP,0.06785714285714285,0.37083333333333335,0.7402777777777778
2,heldout,higher_visual,A,imagery,HOG,-0.10044944046678451,0.675,0.6916666666666667
2,heldout,higher_visual,A,imagery,CLIP,0.06785714285714285,0.38333333333333336,0.7430555555555556
2,heldout,higher_visual,B,vision,HOG,-0.010714285714285714,0.46805555555555556,0.9722222222222222
2,heldout,higher_visual,B,vision,CLIP,-0.05,0.5958333333333333,0.8388888888888889
2,heldout,higher_visual,B,imagery,HOG,0.15,0.2263888888888889,0.45416666666666666
2,heldout,higher_visual,B,imagery,CLIP,0.07857142857142857,0.3527777777777778,0.7416666666666667
