method,subject,task,stimulus_sets,region,n_targets,n_voxels,cv_unit,outer_cv,mean_voxel_target_correlation,median_voxel_target_correlation,fraction_positive_target_correlation,mean_voxel_target_r2,median_voxel_target_r2,fraction_positive_target_r2,mean_spearman_brown_reliability,median_spearman_brown_reliability
DirectRBFKRR,subj01,vision,A+B,V4,12,687,target_identity,leave_one_target_out,-0.18936107665432042,-0.20379870866805003,0.2794759825327511,-0.4959973418143499,-0.36603632091787186,0.13973799126637554,-0.2054055543866027,0.1145811798366619
DirectLinearKRR,subj01,imagery,A+B,visual_cortex,12,15724,target_identity,leave_one_target_out,-0.11123719272266401,-0.13982817160126265,0.35353599592978885,-0.6858011978239937,-0.49653136758319594,0.14595522767743577,-0.0434108387463991,0.18764029426324372
DirectLinearKRR,subj01,imagery,A+B,early_visual,12,4657,target_identity,leave_one_target_out,-0.129620632471232,-0.16000575856376467,0.3257461885333906,-0.7381354316865266,-0.563153028349527,0.1254026197122611,0.020940156866088293,0.22974689260456055
DirectLinearKRR,subj01,imagery,A+B,higher_visual,12,11067,target_identity,leave_one_target_out,-0.10350143064539997,-0.12853956879936035,0.3652299629529231,-0.6637789219499705,-0.4701341976369673,0.15460377699466885,-0.0704897749140465,0.1711499319759998
DirectLinearKRR,subj01,imagery,A+B,V1,12,1350,target_identity,leave_one_target_out,-0.14011315806251873,-0.1627000611487452,0.31333333333333335,-0.7443119091091372,-0.5613871973495558,0.1111111111111111,-0.09751848730463067,0.12118206829161576
DirectLinearKRR,subj01,imagery,A+B,V2,12,1433,target_identity,leave_one_target_out,-0.11741901404849396,-0.14661956630394024,0.3363572923935799,-0.715993265236315,-0.5669874136725004,0.13538032100488487,0.10573760249477673,0.28165375952402927
DirectLinearKRR,subj01,imagery,A+B,V3,12,1187,target_identity,leave_one_target_out,-0.14681125378285648,-0.1825267691452328,0.3083403538331929,-0.8005369963654847,-0.6024339666346257,0.11288963774220724,0.04087155230393807,0.26656677999351075
DirectLinearKRR,subj01,imagery,A+B,V4,12,687,target_identity,leave_one_target_out,-0.10475126151729953,-0.14368105408137333,0.35807860262008734,-0.6643666146977429,-0.5010520728626788,0.15429403202328967,0.04240429610893023,0.2639580952691333
DirectRBFKRR,subj01,imagery,A+B,visual_cortex,12,15724,target_identity,leave_one_target_out,-0.1976558248169964,-0.23961152898699795,0.27575680488425336,-0.5322505007162307,-0.418428496878816,0.12674891885016534,-0.0434108387463991,0.18764029426324372
DirectRBFKRR,subj01,imagery,A+B,early_visual,12,4657,target_identity,leave_one_target_out,-0.2212127079980363,-0.26202951590845275,0.2417865578698733,-0.583541594182463,-0.4627559902464833,0.10285591582563883,0.020940156866088293,0.22974689260456055
DirectRBFKRR,subj01,imagery,A+B,higher_visual,12,11067,target_identity,leave_one_target_out,-0.18774307475156735,-0.22860835636151766,0.29005150447275685,-0.5106671789242144,-0.39813535196780747,0.13680310834011022,-0.0704897749140465,0.1711499319759998
DirectRBFKRR,subj01,imagery,A+B,V1,12,1350,target_identity,leave_one_target_out,-0.2185744409758051,-0.24937646680804024,0.23333333333333334,-0.5803328684904618,-0.45929937530303644,0.10148148148148148,-0.09751848730463067,0.12118206829161576
DirectRBFKRR,subj01,imagery,A+B,V2,12,1433,target_identity,leave_one_target_out,-0.20531591246145472,-0.2436754381624145,0.25331472435450103,-0.5575561651714755,-0.4518197045073218,0.1137473831123517,0.10573760249477673,0.28165375952402927
DirectRBFKRR,subj01,imagery,A+B,V3,12,1187,target_identity,leave_one_target_out,-0.24622123017344905,-0.28699630492153855,0.22409435551811288,-0.6400208968259354,-0.4920483833119327,0.09014321819713564,0.04087155230393807,0.26656677999351075
DirectRBFKRR,subj01,imagery,A+B,V4,12,687,target_identity,leave_one_target_out,-0.21634611798598205,-0.27436241099318864,0.264919941775837,-0.546464399450505,-0.4582915981432554,0.10480349344978165,0.04240429610893023,0.2639580952691333
