subject,phase,roi,task,comparison,scope,rho
6,heldout,higher_visual,vision,odd/even repetitions,all,0.2824005200166191
6,heldout,higher_visual,vision,odd/even repetitions,within_set,0.18326745718050064
6,heldout,higher_visual,vision,odd/even repetitions,between_set,0.30320005335010053
6,heldout,higher_visual,vision,odd/even repetitions,block_residual,0.09348165613561307
6,heldout,higher_visual,imagery,run 1/run 2,all,-0.01642810234141503
6,heldout,higher_visual,imagery,run 1/run 2,within_set,-0.030961791831357045
6,heldout,higher_visual,imagery,run 1/run 2,between_set,-0.07779587870473577
6,heldout,higher_visual,imagery,run 1/run 2,block_residual,-0.06545918371965288
7,heldout,nsdgeneral,vision,odd/even repetitions,all,0.1611515419564955
7,heldout,nsdgeneral,vision,odd/even repetitions,within_set,0.29565217391304344
7,heldout,nsdgeneral,vision,odd/even repetitions,between_set,0.051473320186344276
7,heldout,nsdgeneral,vision,odd/even repetitions,block_residual,-0.13014803775274753
7,heldout,nsdgeneral,imagery,run 1/run 2,all,0.36262782625011725
7,heldout,nsdgeneral,imagery,run 1/run 2,within_set,0.03227931488801054
7,heldout,nsdgeneral,imagery,run 1/run 2,between_set,0.4645650537788067
7,heldout,nsdgeneral,imagery,run 1/run 2,block_residual,0.3977193840511524
7,heldout,early_visual,vision,odd/even repetitions,all,0.006791711900071033
7,heldout,early_visual,vision,odd/even repetitions,within_set,0.08379446640316204
7,heldout,early_visual,vision,odd/even repetitions,between_set,-0.03575409414387378
7,heldout,early_visual,vision,odd/even repetitions,block_residual,-0.14986207253178804
7,heldout,early_visual,imagery,run 1/run 2,all,0.29304209722166374
7,heldout,early_visual,imagery,run 1/run 2,within_set,0.13135704874835308
7,heldout,early_visual,imagery,run 1/run 2,between_set,0.3262358646050663
7,heldout,early_visual,imagery,run 1/run 2,block_residual,0.26145873548784243
7,heldout,higher_visual,vision,odd/even repetitions,all,0.1186924530577781
7,heldout,higher_visual,vision,odd/even repetitions,within_set,0.09749670619235837
7,heldout,higher_visual,vision,odd/even repetitions,between_set,0.12462964550763574
7,heldout,higher_visual,vision,odd/even repetitions,block_residual,-0.03308549359909457
7,heldout,higher_visual,imagery,run 1/run 2,all,0.13610563842761983
7,heldout,higher_visual,imagery,run 1/run 2,within_set,-0.2213438735177865
7,heldout,higher_visual,imagery,run 1/run 2,between_set,0.06360094124820181
7,heldout,higher_visual,imagery,run 1/run 2,block_residual,-0.02502443611894914
8,heldout,nsdgeneral,vision,odd/even repetitions,all,0.3263874927961615
8,heldout,nsdgeneral,vision,odd/even repetitions,within_set,0.41212121212121205
8,heldout,nsdgeneral,vision,odd/even repetitions,between_set,0.29024360036964
8,heldout,nsdgeneral,vision,odd/even repetitions,block_residual,0.22024793641798335
8,heldout,nsdgeneral,imagery,run 1/run 2,all,0.033757522147615016
